,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2014-03-11 20:00:00,0.0343490413598,0.00453996246998,0.022985269856,0.0104254691491,0.125412008519,0.0296658373265,0.0,50630.133865,49823.862382,49823.862382,-0.02316003753,0.495986862081,-0.0191752384032,49823.862382,49823.862382,1,-0.01287685171,0.0,0.495986862081,[],2014-03-11 20:00:00+00:00,2014-03,2014-03-11 13:31:00+00:00,480.495964,100453.996247,"[{'amount': 683, 'last_sale_price': 72.948554000000001, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00480623327822,0.723869713408,0,0,0,1.2014991298,50630.133865,49343.366418,49343.366418,47,[],0.0277
2014-03-12 20:00:00,0.0339929580901,0.00502326009998,0.0249842815313,0.0107338214206,0.12407072636,0.0296728294377,0.0,50630.133865,49872.192145,49872.192145,-0.0222767399,0.496229232944,-0.0185130533858,49872.192145,49872.192145,1,-0.01287685171,0.0,0.496229232944,[],2014-03-12 20:00:00+00:00,2014-03,2014-03-12 13:31:00+00:00,48.329763,100502.32601,"[{'amount': 683, 'last_sale_price': 73.019315000000006, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.000481113393251,0.79051876455,0,0,0,1.31226415254,50630.133865,49823.862382,49823.862382,48,[],0.0273
2014-03-13 20:00:00,0.035969054499,-0.000515904050023,-0.00212862560585,-0.00109287098644,0.125728661281,0.0501420284703,0.0,50630.133865,49318.27573,49318.27573,-0.02711590405,0.493437323614,-0.00210671274758,49318.27573,49318.27573,1,-0.01287685171,0.0,0.493437323614,[],2014-03-13 20:00:00+00:00,2014-03,2014-03-13 13:31:00+00:00,-553.916415,99948.409595,"[{'amount': 683, 'last_sale_price': 72.208309999999997, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00551147855966,-0.0561895576797,0,0,0,-0.0848778033281,50630.133865,49872.192145,49872.192145,49,[],0.0266
2014-03-14 20:00:00,0.0377057420315,-0.00605511601002,-0.0292449386034,-0.00391156487848,0.124601217119,0.0550962725062,0.0,50630.133865,48764.354534,48764.354534,-0.03255511601,0.490614271671,-0.00908033749399,48764.354534,48764.354534,1,-0.01287685171,0.0,0.490614271671,[],2014-03-14 20:00:00+00:00,2014-03,2014-03-14 13:31:00+00:00,-553.921196,99394.488399,"[{'amount': 683, 'last_sale_price': 71.397297999999992, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00554207113695,-0.793319544339,0,0,0,-1.12224123221,50630.133865,49318.27573,49318.27573,50,[],0.0265
2014-03-17 20:00:00,0.0376000390927,-0.00414983287002,-0.0219801074475,0.0056644653016,0.125204664492,0.0596743176579,0.0,50630.133865,48954.882848,48954.882848,-0.03114983287,0.491588840007,-0.0283271145229,48954.882848,48954.882848,1,-0.01287685171,0.0,0.491588840007,[],2014-03-17 20:00:00+00:00,2014-03,2014-03-17 13:31:00+00:00,190.528314,99585.016713,"[{'amount': 683, 'last_sale_price': 71.676256000000009, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00191689013213,-0.528044294064,0,0,0,-0.752296968567,50630.133865,48764.354534,48764.354534,51,[],0.027
2014-03-18 20:00:00,0.0384844429197,0.000181117939977,-0.00318472076882,0.0129249795461,0.124946519802,0.0684750997087,0.0,50630.133865,49387.977929,49387.977929,-0.02661888206,0.493790345,-0.0351929781222,49387.977929,49387.977929,1,-0.01287685171,0.0,0.493790345,[],2014-03-18 20:00:00+00:00,2014-03,2014-03-18 13:31:00+00:00,433.095081,100018.111794,"[{'amount': 683, 'last_sale_price': 72.310362999999995, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00434899842662,0.0416595972644,0,0,0,0.0613405289309,50630.133865,48954.882848,48954.882848,52,[],0.0268
2014-03-19 20:00:00,0.0381137648439,5.10269299772e-05,-0.00172327873579,0.00671407902173,0.124525972276,0.0678807580947,0.0,50630.133865,49374.968828,49374.968828,-0.02774897307,0.493724495035,-0.0198964612503,49374.968828,49374.968828,1,-0.01287685171,0.0,0.493724495035,[],2014-03-19 20:00:00+00:00,2014-03,2014-03-19 13:31:00+00:00,-13.009101,100005.102693,"[{'amount': 683, 'last_sale_price': 72.291316000000009, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.000130067452451,0.025045086469,0,0,0,0.0368690404285,50630.133865,49387.977929,49387.977929,53,[],0.0278
2014-03-20 20:00:00,0.0381018257237,-0.00232822406002,-0.0143750138287,0.0127951401198,0.123998801616,0.0629119819956,0.0,50630.133865,49137.043729,49137.043729,-0.03022822406,0.492517127516,-0.0397846692198,49137.043729,49137.043729,1,-0.01287685171,0.0,0.492517127516,[],2014-03-20 20:00:00+00:00,2014-03,2014-03-20 13:31:00+00:00,-237.925099,99767.177594,"[{'amount': 683, 'last_sale_price': 71.942963000000006, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00237912959032,-0.266803994548,0,0,0,-0.388603501954,50630.133865,49374.968828,49374.968828,54,[],0.0279
2014-03-21 20:00:00,0.0386710250783,0.00154732283998,0.00473889553028,0.00982494489561,0.123035897075,0.0589178701357,0.0,50630.133865,49524.598419,49524.598419,-0.02595267716,0.494480862657,-0.0229712507525,49524.598419,49524.598419,1,-0.01287685171,0.494480862657,0.494480862657,[],2014-03-21 20:00:00+00:00,2014-03,2014-03-21 13:31:00+00:00,387.55469,100154.732284,"[{'amount': 683, 'last_sale_price': 72.510393000000008, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00388459109846,0.202156577577,0,0,0,0.301596725507,50630.133865,49137.043729,49137.043729,55,[],0.0275
2014-03-24 20:00:00,0.0402666441297,0.00742112283998,0.0326103379497,0.00491243917504,0.12238613116,0.0495729956185,0.0,50630.133865,50111.978419,50111.978419,-0.01997887716,0.497428307615,0.00237715949481,50111.978419,50111.978419,1,-0.01287685171,0.497428307615,0.497428307615,"[{'status': 0, 'created': Timestamp('2014-03-24 20:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 686, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL'), 'dt': Timestamp('2014-03-24 20:00:00+0000', tz='UTC'), 'id': '0c8713ae5fa14597926789c83c5d008d', 'filled': 0}]",2014-03-24 20:00:00+00:00,2014-03,2014-03-24 13:31:00+00:00,587.38,100742.112284,"[{'amount': 683, 'last_sale_price': 73.370393000000007, 'cost_basis': 72.283845000003367, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00586472537647,0.846091522514,0,0,0,1.32625950669,50630.133865,49524.598419,49524.598419,56,[],0.0274
